"user_id";"name";"email";"signup_date";"domain"
"f7c1bd87-4da5-4709-9471-3d60c8a70639";"Amy Merritt";"xkramer@gmail.com";"2023-10-18";"gmail.com"
"e443df78-9558-467f-9ba9-1faf7a024204";"Matthew Galvan";"katherine72@hill.info";"2024-05-28";"hill.info"
"23a7711a-8133-4876-b7eb-dcd9e87a1613";"Jennifer Rivera";"ernestjones@gmail.com";"2021-10-11";"gmail.com"
"1846d424-c17c-4279-a3c6-612f48268673";"Tammy Harvey";"zjohnson@gomez.com";"2020-12-15";"gomez.com"
"fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c";"Gina Taylor";"mhiggins@hotmail.com";"2022-12-31";"hotmail.com"
"b4862b21-fb97-4435-8856-1712e8e5216a";"Mary Hill";"bmccarty@ryan-wilson.net";"2022-05-27";"ryan-wilson.net"
"259f4329-e6f4-490b-9a16-4106cf6a659e";"Lisa Rivera";"austinnathan@hotmail.com";"2021-09-17";"hotmail.com"
"12e0c8b2-bad6-40fb-9948-8dec4f65d4d9";"Angela Brock";"elizabeth25@walker-poole.net";"2022-01-04";"walker-poole.net"
"5487ce1e-af19-422a-99b8-a714e61a441c";"Brian Green";"sandra97@bryant.org";"2021-06-09";"bryant.org"
"5a921187-19c7-4df4-8f4f-f31e78de5857";"Lisa Fisher";"mpatterson@gmail.com";"2020-10-25";"gmail.com"
"a3f2c9bf-9c63-46b9-90f2-44556f25e2a2";"Thomas Miranda";"frankbrad@gmail.com";"2023-07-05";"gmail.com"
"8d723104-f773-43c1-b458-a748e9bb17bc";"Robin Schroeder";"martinjason@rodriguez.net";"2023-01-08";"rodriguez.net"
"85776e9a-dd84-439e-b154-5a137a1d5006";"Raymond Roberson";"nicholaswilson@palmer-perez.info";"2023-11-29";"palmer-perez.info"
"eb2083e6-ce16-4dba-8ff1-8e0242af9fc3";"Karen Parks";"rodriguezalicia@booker.com";"2022-08-18";"booker.com"
"17e0aa3c-0398-4ca8-aa7e-9d498c778ea6";"Phillip Baker";"benderhector@carpenter-durham.com";"2022-06-24";"carpenter-durham.com"
"b5d32b16-6619-4cb1-9710-37d1b83e90ec";"Madison Hicks";"mary99@gmail.com";"2021-04-01";"gmail.com"
"a0116be5-ab0c-4681-88f8-e3d0d3290a4c";"Angela Williams";"kathryn72@yahoo.com";"2020-07-01";"yahoo.com"
"d3fbf47a-7e5b-4e7f-9ca5-499d004ae545";"Reginald Taylor";"davidoliver@wells-brown.com";"2020-01-29";"wells-brown.com"
"baf3897a-3e70-416a-9548-5822de1b372a";"James Levine";"corey06@hernandez.com";"2024-07-16";"hernandez.com"
"101fbccc-ded7-43e8-b421-eaeb534097ca";"Emily Weiss";"raynicholas@kennedy.com";"2020-07-17";"kennedy.com"
"38c1962e-9148-424f-aac1-c14f30e9c5cc";"James Riley";"brivera@hotmail.com";"2023-08-05";"hotmail.com"
"247a8333-f7b0-47d2-8da8-056c3d15eef7";"Mrs. Jennifer Gillespie";"watkinsthomas@steele.net";"2023-03-01";"steele.net"
"1759edc3-72ae-4244-8b01-63c1cd9d2b7d";"Kyle Ross";"john35@hunter.com";"2023-11-10";"hunter.com"
"e005b860-51ef-4922-be43-c49e149818d1";"Michele Russell";"sharonlopez@weber.com";"2020-06-21";"weber.com"
"7d41e602-eece-428b-bf7b-118e820865d6";"Tina Mercer";"laurieharper@nichols.com";"2023-08-01";"nichols.com"
"4a84eb03-8d1f-49b7-8d2b-9deb1beb3711";"Russell Johns";"ohayes@davis.com";"2022-06-28";"davis.com"
"552f233a-8c25-466a-9ff3-9849b4e1357d";"Todd Martinez";"charlesgreen@yahoo.com";"2023-05-21";"yahoo.com"
"3405095c-8a50-46c1-ac18-8efbd080e66e";"Tyler Rivas";"deanrodriguez@gmail.com";"2021-06-16";"gmail.com"
"8c1745a7-9a6a-4f92-8ca7-4147f6be1f72";"Donna King";"johnny01@stephens.com";"2021-08-07";"stephens.com"
"1775336d-71ea-4d05-89a3-e80e966e1277";"Adam Fields";"rodriguezjames@wagner.info";"2023-10-31";"wagner.info"
"5129fb7c-6288-41a5-8c45-782198a6416d";"Raymond Jones";"hancockroger@gmail.com";"2020-04-14";"gmail.com"
"2f120554-4a53-48cc-bdfa-bc08935ddd72";"Dustin Barton";"knewman@anderson.biz";"2020-11-23";"anderson.biz"
"0870e15c-2fcd-41b5-924b-ace4307bf326";"Katie Mays";"michelleknapp@yahoo.com";"2021-02-06";"yahoo.com"
"42930b33-a81a-4477-bb36-75b89cdeb3e6";"Gary Yang";"dli@dickson-fleming.info";"2022-05-24";"dickson-fleming.info"
"adc0da7a-16fe-4aa0-91af-923d79fdef7c";"Charles Lane";"james20@mckenzie-parrish.com";"2024-03-15";"mckenzie-parrish.com"
"2648ee38-e074-45eb-a156-63abc1f254b8";"Jake King";"ashley23@hotmail.com";"2022-12-16";"hotmail.com"
